period,fiscal_year,fiscal_quarter,entity,bu,account_code,account_name,account_category,amount_usd_mn,source
2023-01,FY2023,Q1,GRP-ELEC,Electronics,4000,Product Revenue,Revenue,82.04,HFM
2023-01,FY2023,Q1,GRP-ELEC,Electronics,4100,Service Revenue,Revenue,35.987,HFM
2023-01,FY2023,Q1,GRP-ELEC,Electronics,5000,Cost of Goods Sold,COGS,-61.793,HFM
2023-01,FY2023,Q1,GRP-ELEC,Electronics,6100,Salaries & Wages,Opex,-9.258,HFM
2023-01,FY2023,Q1,GRP-ELEC,Electronics,6200,Marketing,Opex,-3.48,HFM
2023-01,FY2023,Q1,GRP-ELEC,Electronics,6300,R&D,Opex,-4.462,HFM
2023-01,FY2023,Q1,GRP-ELEC,Electronics,6400,Travel,Opex,-1.198,HFM
2023-01,FY2023,Q1,GRP-ELEC,Electronics,6500,IT & Infrastructure,Opex,-2.853,HFM
2023-01,FY2023,Q1,GRP-ELEC,Electronics,6600,General & Admin,Opex,-1.849,HFM
2023-01,FY2023,Q1,GRP-ELEC,Electronics,7100,Depreciation,D&A,-5.791,HFM
2023-01,FY2023,Q1,GRP-ELEC,Electronics,8100,Interest Expense,Finance,-3.589,HFM
2023-01,FY2023,Q1,GRP-ELEC,Electronics,9100,Income Tax,Tax,-7.047,HFM
2023-01,FY2023,Q1,GRP-AUTO,Automotive,4000,Product Revenue,Revenue,114.131,HFM
2023-01,FY2023,Q1,GRP-AUTO,Automotive,4100,Service Revenue,Revenue,49.504,HFM
2023-01,FY2023,Q1,GRP-AUTO,Automotive,5000,Cost of Goods Sold,COGS,-86.465,HFM
2023-01,FY2023,Q1,GRP-AUTO,Automotive,6100,Salaries & Wages,Opex,-12.845,HFM
2023-01,FY2023,Q1,GRP-AUTO,Automotive,6200,Marketing,Opex,-4.9,HFM
2023-01,FY2023,Q1,GRP-AUTO,Automotive,6300,R&D,Opex,-6.679,HFM
2023-01,FY2023,Q1,GRP-AUTO,Automotive,6400,Travel,Opex,-1.621,HFM
2023-01,FY2023,Q1,GRP-AUTO,Automotive,6500,IT & Infrastructure,Opex,-3.853,HFM
2023-01,FY2023,Q1,GRP-AUTO,Automotive,6600,General & Admin,Opex,-2.692,HFM
2023-01,FY2023,Q1,GRP-AUTO,Automotive,7100,Depreciation,D&A,-8.371,HFM
2023-01,FY2023,Q1,GRP-AUTO,Automotive,8100,Interest Expense,Finance,-4.963,HFM
2023-01,FY2023,Q1,GRP-AUTO,Automotive,9100,Income Tax,Tax,-9.943,HFM
2023-01,FY2023,Q1,GRP-HEAL,Healthcare,4000,Product Revenue,Revenue,58.813,HFM
2023-01,FY2023,Q1,GRP-HEAL,Healthcare,4100,Service Revenue,Revenue,25.219,HFM
