period,fiscal_year,fiscal_quarter,bu,region,account_code,account_name,account_category,amount_usd_mn,source
2023-01,FY2023,Q1,Electronics,APAC,4000,Product Revenue,Revenue,24.345,SAP-ECC
2023-01,FY2023,Q1,Electronics,APAC,4100,Service Revenue,Revenue,9.319,SAP-ECC
2023-01,FY2023,Q1,Electronics,APAC,5000,Cost of Goods Sold,COGS,-17.916,SAP-ECC
2023-01,FY2023,Q1,Electronics,APAC,6100,Salaries & Wages,Opex,-2.581,SAP-ECC
2023-01,FY2023,Q1,Electronics,APAC,6200,Marketing,Opex,-1.061,SAP-ECC
2023-01,FY2023,Q1,Electronics,APAC,6300,R&D,Opex,-1.4,SAP-ECC
2023-01,FY2023,Q1,Electronics,APAC,6400,Travel,Opex,-0.363,SAP-ECC
2023-01,FY2023,Q1,Electronics,APAC,6500,IT & Infrastructure,Opex,-0.755,SAP-ECC
2023-01,FY2023,Q1,Electronics,APAC,6600,General & Admin,Opex,-0.535,SAP-ECC
2023-01,FY2023,Q1,Electronics,APAC,7100,Depreciation,D&A,-1.555,SAP-ECC
2023-01,FY2023,Q1,Electronics,APAC,8100,Interest Expense,Finance,-0.967,SAP-ECC
2023-01,FY2023,Q1,Electronics,APAC,9100,Income Tax,Tax,-2.123,SAP-ECC
2023-01,FY2023,Q1,Electronics,EMEA,4000,Product Revenue,Revenue,24.167,SAP-ECC
2023-01,FY2023,Q1,Electronics,EMEA,4100,Service Revenue,Revenue,10.705,SAP-ECC
2023-01,FY2023,Q1,Electronics,EMEA,5000,Cost of Goods Sold,COGS,-21.293,SAP-ECC
2023-01,FY2023,Q1,Electronics,EMEA,6100,Salaries & Wages,Opex,-3.041,SAP-ECC
2023-01,FY2023,Q1,Electronics,EMEA,6200,Marketing,Opex,-1.075,SAP-ECC
2023-01,FY2023,Q1,Electronics,EMEA,6300,R&D,Opex,-1.532,SAP-ECC
2023-01,FY2023,Q1,Electronics,EMEA,6400,Travel,Opex,-0.398,SAP-ECC
2023-01,FY2023,Q1,Electronics,EMEA,6500,IT & Infrastructure,Opex,-0.825,SAP-ECC
2023-01,FY2023,Q1,Electronics,EMEA,6600,General & Admin,Opex,-0.636,SAP-ECC
2023-01,FY2023,Q1,Electronics,EMEA,7100,Depreciation,D&A,-1.952,SAP-ECC
2023-01,FY2023,Q1,Electronics,EMEA,8100,Interest Expense,Finance,-1.099,SAP-ECC
2023-01,FY2023,Q1,Electronics,EMEA,9100,Income Tax,Tax,-2.212,SAP-ECC
2023-01,FY2023,Q1,Electronics,Americas,4000,Product Revenue,Revenue,34.254,SAP-ECC
2023-01,FY2023,Q1,Electronics,Americas,4100,Service Revenue,Revenue,13.179,SAP-ECC
2023-01,FY2023,Q1,Electronics,Americas,5000,Cost of Goods Sold,COGS,-23.08,SAP-ECC
2023-01,FY2023,Q1,Electronics,Americas,6100,Salaries & Wages,Opex,-3.36,SAP-ECC
2023-01,FY2023,Q1,Electronics,Americas,6200,Marketing,Opex,-1.442,SAP-ECC
2023-01,FY2023,Q1,Electronics,Americas,6300,R&D,Opex,-1.843,SAP-ECC
2023-01,FY2023,Q1,Electronics,Americas,6400,Travel,Opex,-0.477,SAP-ECC
2023-01,FY2023,Q1,Electronics,Americas,6500,IT & Infrastructure,Opex,-1.13,SAP-ECC
2023-01,FY2023,Q1,Electronics,Americas,6600,General & Admin,Opex,-0.729,SAP-ECC
2023-01,FY2023,Q1,Electronics,Americas,7100,Depreciation,D&A,-2.453,SAP-ECC
2023-01,FY2023,Q1,Electronics,Americas,8100,Interest Expense,Finance,-1.328,SAP-ECC
2023-01,FY2023,Q1,Electronics,Americas,9100,Income Tax,Tax,-2.854,SAP-ECC
2023-01,FY2023,Q1,Automotive,APAC,4000,Product Revenue,Revenue,35.21,SAP-ECC
2023-01,FY2023,Q1,Automotive,APAC,4100,Service Revenue,Revenue,14.554,SAP-ECC
2023-01,FY2023,Q1,Automotive,APAC,5000,Cost of Goods Sold,COGS,-27.815,SAP-ECC
2023-01,FY2023,Q1,Automotive,APAC,6100,Salaries & Wages,Opex,-3.853,SAP-ECC
2023-01,FY2023,Q1,Automotive,APAC,6200,Marketing,Opex,-1.477,SAP-ECC
2023-01,FY2023,Q1,Automotive,APAC,6300,R&D,Opex,-1.747,SAP-ECC
2023-01,FY2023,Q1,Automotive,APAC,6400,Travel,Opex,-0.452,SAP-ECC
2023-01,FY2023,Q1,Automotive,APAC,6500,IT & Infrastructure,Opex,-1.097,SAP-ECC
2023-01,FY2023,Q1,Automotive,APAC,6600,General & Admin,Opex,-0.703,SAP-ECC
2023-01,FY2023,Q1,Automotive,APAC,7100,Depreciation,D&A,-2.262,SAP-ECC
2023-01,FY2023,Q1,Automotive,APAC,8100,Interest Expense,Finance,-1.324,SAP-ECC
2023-01,FY2023,Q1,Automotive,APAC,9100,Income Tax,Tax,-2.852,SAP-ECC
2023-01,FY2023,Q1,Automotive,EMEA,4000,Product Revenue,Revenue,37.846,SAP-ECC
2023-01,FY2023,Q1,Automotive,EMEA,4100,Service Revenue,Revenue,15.455,SAP-ECC
2023-01,FY2023,Q1,Automotive,EMEA,5000,Cost of Goods Sold,COGS,-28.362,SAP-ECC
2023-01,FY2023,Q1,Automotive,EMEA,6100,Salaries & Wages,Opex,-4.005,SAP-ECC
2023-01,FY2023,Q1,Automotive,EMEA,6200,Marketing,Opex,-1.518,SAP-ECC
2023-01,FY2023,Q1,Automotive,EMEA,6300,R&D,Opex,-2.276,SAP-ECC
2023-01,FY2023,Q1,Automotive,EMEA,6400,Travel,Opex,-0.542,SAP-ECC
2023-01,FY2023,Q1,Automotive,EMEA,6500,IT & Infrastructure,Opex,-1.292,SAP-ECC
2023-01,FY2023,Q1,Automotive,EMEA,6600,General & Admin,Opex,-0.795,SAP-ECC
2023-01,FY2023,Q1,Automotive,EMEA,7100,Depreciation,D&A,-2.747,SAP-ECC
2023-01,FY2023,Q1,Automotive,EMEA,8100,Interest Expense,Finance,-1.489,SAP-ECC
2023-01,FY2023,Q1,Automotive,EMEA,9100,Income Tax,Tax,-3.228,SAP-ECC
2023-01,FY2023,Q1,Automotive,Americas,4000,Product Revenue,Revenue,48.212,SAP-ECC
2023-01,FY2023,Q1,Automotive,Americas,4100,Service Revenue,Revenue,19.478,SAP-ECC
2023-01,FY2023,Q1,Automotive,Americas,5000,Cost of Goods Sold,COGS,-35.195,SAP-ECC
2023-01,FY2023,Q1,Automotive,Americas,6100,Salaries & Wages,Opex,-5.235,SAP-ECC
2023-01,FY2023,Q1,Automotive,Americas,6200,Marketing,Opex,-2.017,SAP-ECC
2023-01,FY2023,Q1,Automotive,Americas,6300,R&D,Opex,-2.659,SAP-ECC
2023-01,FY2023,Q1,Automotive,Americas,6400,Travel,Opex,-0.603,SAP-ECC
2023-01,FY2023,Q1,Automotive,Americas,6500,IT & Infrastructure,Opex,-1.394,SAP-ECC
2023-01,FY2023,Q1,Automotive,Americas,6600,General & Admin,Opex,-0.98,SAP-ECC
2023-01,FY2023,Q1,Automotive,Americas,7100,Depreciation,D&A,-3.036,SAP-ECC
2023-01,FY2023,Q1,Automotive,Americas,8100,Interest Expense,Finance,-1.803,SAP-ECC
2023-01,FY2023,Q1,Automotive,Americas,9100,Income Tax,Tax,-4.272,SAP-ECC
2023-01,FY2023,Q1,Healthcare,APAC,4000,Product Revenue,Revenue,17.744,SAP-ECC
2023-01,FY2023,Q1,Healthcare,APAC,4100,Service Revenue,Revenue,6.891,SAP-ECC
2023-01,FY2023,Q1,Healthcare,APAC,5000,Cost of Goods Sold,COGS,-13.427,SAP-ECC
2023-01,FY2023,Q1,Healthcare,APAC,6100,Salaries & Wages,Opex,-1.865,SAP-ECC
2023-01,FY2023,Q1,Healthcare,APAC,6200,Marketing,Opex,-0.765,SAP-ECC
2023-01,FY2023,Q1,Healthcare,APAC,6300,R&D,Opex,-0.943,SAP-ECC
2023-01,FY2023,Q1,Healthcare,APAC,6400,Travel,Opex,-0.228,SAP-ECC
2023-01,FY2023,Q1,Healthcare,APAC,6500,IT & Infrastructure,Opex,-0.544,SAP-ECC
2023-01,FY2023,Q1,Healthcare,APAC,6600,General & Admin,Opex,-0.384,SAP-ECC
2023-01,FY2023,Q1,Healthcare,APAC,7100,Depreciation,D&A,-1.138,SAP-ECC
2023-01,FY2023,Q1,Healthcare,APAC,8100,Interest Expense,Finance,-0.723,SAP-ECC
