period,fiscal_year,fiscal_quarter,bu,region,account_code,account_name,account_category,amount_usd_mn,source
2023-01,FY2023,Q1,Electronics,APAC,4000,Product Revenue,Revenue,23.52,SAP-BPC
2023-01,FY2023,Q1,Electronics,APAC,4100,Service Revenue,Revenue,10.08,SAP-BPC
2023-01,FY2023,Q1,Electronics,APAC,5000,Cost of Goods Sold,COGS,-18.48,SAP-BPC
2023-01,FY2023,Q1,Electronics,APAC,6100,Salaries & Wages,Opex,-2.688,SAP-BPC
2023-01,FY2023,Q1,Electronics,APAC,6200,Marketing,Opex,-1.008,SAP-BPC
2023-01,FY2023,Q1,Electronics,APAC,6300,R&D,Opex,-1.344,SAP-BPC
2023-01,FY2023,Q1,Electronics,APAC,6400,Travel,Opex,-0.336,SAP-BPC
2023-01,FY2023,Q1,Electronics,APAC,6500,IT & Infrastructure,Opex,-0.806,SAP-BPC
2023-01,FY2023,Q1,Electronics,APAC,6600,General & Admin,Opex,-0.538,SAP-BPC
2023-01,FY2023,Q1,Electronics,APAC,7100,Depreciation,D&A,-1.68,SAP-BPC
2023-01,FY2023,Q1,Electronics,APAC,8100,Interest Expense,Finance,-1.008,SAP-BPC
2023-01,FY2023,Q1,Electronics,APAC,9100,Income Tax,Tax,-2.1,SAP-BPC
2023-01,FY2023,Q1,Electronics,EMEA,4000,Product Revenue,Revenue,26.133,SAP-BPC
2023-01,FY2023,Q1,Electronics,EMEA,4100,Service Revenue,Revenue,11.2,SAP-BPC
2023-01,FY2023,Q1,Electronics,EMEA,5000,Cost of Goods Sold,COGS,-20.533,SAP-BPC
2023-01,FY2023,Q1,Electronics,EMEA,6100,Salaries & Wages,Opex,-2.987,SAP-BPC
2023-01,FY2023,Q1,Electronics,EMEA,6200,Marketing,Opex,-1.12,SAP-BPC
2023-01,FY2023,Q1,Electronics,EMEA,6300,R&D,Opex,-1.493,SAP-BPC
2023-01,FY2023,Q1,Electronics,EMEA,6400,Travel,Opex,-0.373,SAP-BPC
2023-01,FY2023,Q1,Electronics,EMEA,6500,IT & Infrastructure,Opex,-0.896,SAP-BPC
2023-01,FY2023,Q1,Electronics,EMEA,6600,General & Admin,Opex,-0.597,SAP-BPC
2023-01,FY2023,Q1,Electronics,EMEA,7100,Depreciation,D&A,-1.867,SAP-BPC
2023-01,FY2023,Q1,Electronics,EMEA,8100,Interest Expense,Finance,-1.12,SAP-BPC
2023-01,FY2023,Q1,Electronics,EMEA,9100,Income Tax,Tax,-2.333,SAP-BPC
2023-01,FY2023,Q1,Electronics,Americas,4000,Product Revenue,Revenue,31.36,SAP-BPC
2023-01,FY2023,Q1,Electronics,Americas,4100,Service Revenue,Revenue,13.44,SAP-BPC
2023-01,FY2023,Q1,Electronics,Americas,5000,Cost of Goods Sold,COGS,-24.64,SAP-BPC
2023-01,FY2023,Q1,Electronics,Americas,6100,Salaries & Wages,Opex,-3.584,SAP-BPC
2023-01,FY2023,Q1,Electronics,Americas,6200,Marketing,Opex,-1.344,SAP-BPC
2023-01,FY2023,Q1,Electronics,Americas,6300,R&D,Opex,-1.792,SAP-BPC
2023-01,FY2023,Q1,Electronics,Americas,6400,Travel,Opex,-0.448,SAP-BPC
2023-01,FY2023,Q1,Electronics,Americas,6500,IT & Infrastructure,Opex,-1.075,SAP-BPC
